"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"16106107021","51409","4","3","4","1","2","0","4","11","52"
"17106107001","51409","5","5","4","4","4","4","4","20","40"
"17106107002","51409","4","4","4","2","3","2","4","15","37"
"17106107003","51409","4","5","4","3","3","4","4","18","56"
"17106107004","51409","3","4","2","4","4","2","1","13","48"
"17106107005","51409","4","5","4","4","3","3","4","18","52"
"17106107006","51409","3","4","1","4","0","4","4","13","53"
"17106107007","51409","4","4","2","3","4","4","4","17","52"
"17106107008","51409","4","4","2","2","4","2","3","13","50"
"17106107009","51409","4","4","3","1","4","4","4","16","52"
"17106107010","51409","3","4","1","2","2","4","4","13","50"
"17106107011","51409","5","4","3","4","4","4","4","19","44"
"17106107012","51409","4","3","4","1","3","0","3","11","51"
"17106107013","51409","4","4","2","3","3","3","4","15","40"
"17106107014","51409","4","4","4","3","4","4","3","18","54"
"17106107015","51409","4","4","4","2","3","0","4","13","54"
"17106107016","51409","4","3","2","1","4","3","1","11","54"
"17106107017","51409","4","4","3","4","4","4","3","18","46"
"17106107018","51409","4","4","4","4","3","4","2","17","56"
"17106107019","51409","4","4","1","4","1","4","4","14","49"
"17106107020","51409","4","5","4","4","2","4","4","18","48"
"17106107021","51409","3","4","0","1","1","1","0","3","37"
"17106107022","51409","4","5","4","4","3","4","4","19","44"
"17106107023","51409","4","4","0","3","4","3","4","14","56"
"17106107024","51409","4","3","0","1","3","4","3","11","50"
"17106107025","51409","5","4","3","3","4","4","4","18","46"
"17106107026","51409","4","3","2","0","4","2","3","11","50"
"17106107028","51409","5","4","3","4","4","3","4","18","54"
"17106107029","51409","4","3","2","4","1","4","2","13","46"
"17106107030","51409","4","4","4","3","4","3","2","16","50"
"17106107031","51409","3","4","1","4","2","3","3","13","37"
"17106107032","51409","3","4","4","1","2","3","1","11","51"
"17106107034","51409","4","4","4","3","2","2","3","14","40"
"17106107036","51409","3","4","3","1","4","2","1","11","56"
"17106107037","51409","4","4","1","4","4","0","4","13","44"
"17106107038","51409","3","4","1","3","1","4","2","11","52"
"17106107039","51409","4","3","1","0","4","4","2","11","51"
"17106107040","51409","4","4","2","4","1","4","4","15","52"
"17106107041","51409","4","3","2","4","0","1","4","11","51"
"17106107042","51409","4","4","4","2","4","3","4","17","52"
"18106107902","51409","4","4","3","4","4","1","4","16","41"
"18106107903","51409","5","4","4","4","4","3","4","19","58"
"18106107904","51409","4","3","1","1","4","1","4","11","46"
"18106107905","51409","4","5","4","3","4","4","4","19","52"
"18106107906","51409","4","4","4","4","1","3","2","14","50"
"18106107907","51409","4","4","4","4","2","2","4","16","50"
"18106107908","51409","4","3","4","2","4","1","0","11","36"
"18106107909","51409","4","3","2","4","2","0","3","11","36"
