"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"16106107021","51614","4","4","2","2","3","3","4","14","45"
"17106107001","51614","4","4","3","3","4","4","4","18","59"
"17106107002","51614","4","4","4","4","4","4","2","18","53"
"17106107003","51614","4","5","4","4","4","4","3","19","57"
"17106107004","51614","5","4","4","3","4","4","4","19","57"
"17106107005","51614","5","4","4","3","4","4","4","19","58"
"17106107006","51614","4","4","4","4","1","4","4","17","53"
"17106107007","51614","4","5","3","4","4","4","3","18","56"
"17106107008","51614","5","4","4","4","4","4","2","18","55"
"17106107009","51614","4","5","3","4","4","4","4","19","55"
"17106107010","51614","4","4","3","4","2","4","4","17","50"
"17106107011","51614","4","4","3","3","4","4","4","18","56"
"17106107012","51614","4","4","3","4","3","4","2","16","48"
"17106107013","51614","4","4","4","2","2","4","4","16","49"
"17106107014","51614","4","4","4","4","4","3","2","17","54"
"17106107015","51614","4","4","4","3","4","4","2","17","48"
"17106107016","51614","4","4","4","2","4","2","4","16","48"
"17106107017","51614","4","4","2","4","2","4","4","16","52"
"17106107018","51614","4","4","3","4","4","4","3","18","55"
"17106107019","51614","4","4","4","2","3","4","4","17","48"
"17106107020","51614","5","4","4","4","3","4","4","19","57"
"17106107021","51614","4","4","4","4","4","3","2","17","49"
"17106107022","51614","4","4","4","3","4","3","4","18","58"
"17106107023","51614","4","5","4","2","4","4","4","18","56"
"17106107024","51614","4","4","4","4","4","3","2","17","49"
"17106107025","51614","4","4","3","4","4","4","3","18","55"
"17106107026","51614","4","4","4","2","4","3","2","15","47"
"17106107028","51614","5","4","3","3","4","4","4","18","56"
"17106107029","51614","4","4","3","4","3","4","4","18","51"
"17106107030","51614","5","4","4","3","4","4","4","19","54"
"17106107031","51614","4","4","3","3","3","4","3","16","49"
"17106107032","51614","4","5","3","4","4","4","3","18","52"
"17106107034","51614","4","5","3","4","4","4","3","18","56"
"17106107036","51614","4","4","4","4","4","3","3","18","53"
"17106107037","51614","4","4","3","2","4","2","4","15","48"
"17106107038","51614","4","4","0","4","4","4","3","15","46"
"17106107039","51614","4","4","4","3","4","1","4","16","49"
"17106107040","51614","5","4","4","4","4","4","3","19","57"
"17106107041","51614","5","4","4","4","4","4","3","19","50"
"17106107042","51614","5","4","2","4","4","4","4","18","55"
"18106107902","51614","4","4","4","2","4","4","4","18","53"
"18106107903","51614","5","4","4","4","4","3","4","19","57"
"18106107904","51614","4","4","4","4","4","2","3","17","51"
"18106107905","51614","4","5","4","3","4","4","4","19","57"
"18106107906","51614","4","4","4","3","4","3","3","17","49"
"18106107907","51614","4","5","3","4","4","3","4","18","54"
"18106107908","51614","4","4","2","3","2","3","4","14","44"
"18106107909","51614","4","4","4","3","1","2","4","14","44"
