"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"14106107182","61809","5","5","4","4","3","3","4","18","56"
"14106107184","61809","5","5","3","2","4","4","3","16","49"
"14106107185","61809","5","5","3","4","4","3","3","17","50"
"14106107186","61809","5","5","3","4","4","4","4","19","54"
"14106107187","61809","5","5","4","4","3","4","4","19","55"
"14106107188","61809","5","5","3","4","4","4","4","19","49"
"14106107189","61809","5","5","4","4","3","3","4","18","50"
"14106107192","61809","5","5","4","2","4","4","4","18","49"
"14106107197","61809","5","5","4","2","4","4","3","17","52"
"14106107198","61809","5","5","4","3","2","4","4","17","61"
"14106107201","61809","5","5","4","3","3","4","4","18","59"
"14106107202","61809","5","5","4","3","4","4","3","18","55"
"14106107203","61809","5","5","4","4","4","4","3","19","55"
"14106107204","61809","5","5","4","4","1","4","3","16","AB"
"14106107205","61809","5","5","4","3","3","4","4","18","51"
"14106107206","61809","5","5","2","3","4","4","4","17","59"
"14106107207","61809","5","5","4","3","4","4","2","17","53"
"14106107209","61809","5","5","4","4","4","3","4","19","59"
"14106107211","61809","5","5","4","2","3","4","3","16","47"
"14106107263","61809","5","5","4","4","4","2","4","18","54"
"14106107264","61809","5","5","4","2","4","4","4","18","62"
"14106107265","61809","5","5","4","4","3","3","4","18","50"
"14106107266","61809","5","5","4","4","3","4","4","19","56"
"14106107267","61809","5","5","4","4","3","4","3","18","59"
"14106107268","61809","5","5","3","4","3","3","4","17","58"
"14106107269","61809","4","5","4","3","2","3","4","16","61"
"14106107316","61809","5","5","3","4","4","3","4","18","56"
"14106107270","61809","5","5","4","4","4","4","1","17","62"
"14106107317","61809","5","5","3","4","3","4","4","18","54"
"14106107318","61809","5","5","3","4","4","4","4","19","38"
