"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"13102107060","51401","5","5","4","3","4","4","4","19","49"
"13102107061","51401","5","5","4","4","4","4","3","19","40"
"13102107063","51401","5","5","4","4","4","4","2","18","51"
"13102107064","51401","5","5","4","3","3","4","4","18","44"
"13102107065","51401","5","5","4","4","4","4","4","20","45"
"13102107066","51401","5","5","3","4","4","4","4","19","40"
"13102107067","51401","5","5","4","3","4","4","4","19","50"
"13102107068","51401","5","5","3","4","4","3","4","18","44"
"13102107069","51401","5","5","4","4","4","4","4","20","33"
"13102107070","51401","5","5","4","4","4","4","4","20","41"
"13102107071","51401","5","5","4","4","4","4","2","18","31"
"13102107072","51401","5","4","4","4","4","3","4","19","38"
"13102107073","51401","5","5","3","4","4","3","4","18","41"
"13102107074","51401","5","5","4","3","4","4","4","19","47"
"13102107075","51401","5","5","3","3","4","4","4","18","47"
"13102107076","51401","5","5","3","4","4","4","3","18","32"
"13102107077","51401","5","5","4","4","4","3","3","18","39"
"13102107078","51401","5","5","4","4","4","4","3","19","38"
"13102107079","51401","5","5","4","4","4","4","4","20","53"
"13102107080","51401","5","5","4","3","4","4","3","18","25"
"13102107081","51401","5","5","4","3","4","3","4","18","31"
"13102107082","51401","5","5","4","4","4","4","3","19","33"
"13102107083","51401","5","5","4","4","4","4","4","20","39"
"13102107084","51401","5","5","4","4","4","4","4","20","43"
"13102107085","51401","5","5","4","3","4","4","3","18","38"
"13102107086","51401","5","5","4","4","4","2","4","18","51"
"13102107087","51401","5","5","3","4","4","4","4","19","35"
"13102107088","51401","5","5","4","2","4","4","4","18","44"
"13102107090","51401","4","5","3","3","4","4","4","18","35"
"13102107091","51401","5","5","4","4","4","2","4","18","43"
"13102107092","51401","5","5","4","3","4","4","4","19","44"
"13102107093","51401","5","5","4","3","4","4","3","18","30"
"13102107094","51401","4","5","4","4","4","3","4","19","43"
"13102107095","51401","5","5","4","2","4","4","4","18","33"
"13102107097","51401","4","5","3","4","4","4","3","18","32"
"13102107098","51401","5","5","3","4","3","4","4","18","40"
"13102107099","51401","5","5","4","4","4","2","4","18","35"
"13102107100","51401","5","5","4","3","4","4","4","19","40"
"13102107103","51401","5","5","4","4","4","4","4","20","36"
"13102107104","51401","5","5","3","3","4","4","4","18","47"
"13102107105","51401","5","5","4","3","4","4","4","19","38"
"13102107106","51401","5","5","4","3","4","4","3","18","38"
"13102107108","51401","5","5","4","3","4","3","4","18","36"
"13102107111","51401","5","5","4","4","4","3","4","19","35"
"13102107112","51401","5","5","4","3","4","4","3","18","36"
"13102107113","51401","5","5","3","4","4","4","4","19","35"
"13102107314","51401","5","5","3","3","4","4","4","18","35"
"13102107315","51401","4","5","4","3","3","4","4","18","47"
"13102107316","51401","5","5","3","4","3","4","4","18","38"
"13102107317","51401","5","5","4","4","4","4","3","19","35"
"13102107318","51401","4","5","4","3","4","4","3","18","28"
"13102107319","51401","5","5","4","3","4","4","3","18","39"
"13102107320","51401","5","5","4","4","4","3","4","19","37"
"13102107321","51401","5","5","4","3","4","4","4","19","35"
"13102107322","51401","5","5","4","4","4","4","2","18","43"
"13102107323","51401","5","5","3","4","4","4","4","19","41"
"13102107324","51401","5","5","2","4","4","4","4","18","34"
"13102107325","51401","5","5","4","4","4","4","2","18","47"
"13104107183","51401","5","5","4","2","4","4","4","18","35"
"13104107186","51401","5","5","4","4","4","3","4","19","32"
"13104107200","51401","4","5","4","3","4","4","4","19","38"
"13202107265","51401","5","5","4","4","4","3","4","19","33"
