"Reg No","Course Code","Ass","Att","Q1","Q2","Q3","Q4","Q5","Internal Marks","End Sem"
"15106107227","41503","4","3","4","0","4","2","2","12","33"
"15106107228","41503","4","4","2","1","4","4","4","15","38"
"15106107229","41503","4","4","4","4","3","4","3","18","33"
"15106107230","41503","4","3","4","4","1","1","3","13","50"
"15106107231","41503","4","4","3","4","4","3","4","18","44"
"15106107233","41503","5","5","4","4","4","4","4","20","44"
"15106107234","41503","5","5","4","4","4","4","4","20","44"
"15106107235","41503","5","4","4","3","3","4","4","18","44"
"15106107236","41503","4","4","4","2","3","1","4","14","41"
"15106107237","41503","5","4","4","2","4","4","4","18","47"
"15106107238","41503","4","4","3","4","4","4","3","18","48"
"15106107239","41503","4","4","2","3","3","4","4","16","42"
"15106107240","41503","4","3","4","1","0","3","2","10","43"
"15106107241","41503","4","4","4","3","3","4","1","15","34"
"15106107242","41503","4","4","2","2","4","4","3","15","37"
"15106107244","41503","4","4","4","2","3","3","3","15","37"
"15106107245","41503","5","4","4","4","4","3","4","19","45"
"15106107246","41503","5","5","4","4","4","4","4","20","46"
"15106107247","41503","3","4","1","3","2","4","3","13","38"
"15106107248","41503","5","5","4","4","4","3","4","19","45"
"15106107249","41503","5","5","4","4","4","4","4","20","46"
"15106107250","41503","5","5","4","4","4","4","3","19","39"
"15106107253","41503","5","5","3","4","4","4","4","19","44"
"15106107254","41503","5","4","4","3","4","4","4","19","46"
"15106107255","41503","5","4","4","3","4","4","3","18","44"
"15106107256","41503","4","4","4","4","3","2","3","16","37"
"15106107257","41503","4","4","2","3","0","4","4","13","29"
"15106107259","41503","4","3","3","3","4","1","0","11","44"
"15106107260","41503","4","4","3","4","4","4","1","16","AB"
"15106107262","41503","4","4","2","4","4","4","4","18","42"
"15106107263","41503","3","4","3","4","3","1","0","11","29"
"15106107264","41503","5","5","4","4","4","4","4","20","40"
"15106107265","41503","4","4","2","4","4","4","2","16","38"
"15106107266","41503","5","5","4","4","4","3","4","19","51"
"15106107267","41503","4","4","2","4","2","4","3","15","36"
